Training Set Error;Verifying Set Error;Training Set Error;Verifying Set Error;Training Set Error;Verifying Set Error;Training Set Error;Verifying Set Error;Training Set Error;Verifying Set Error
63,699427;57,225552;94,40804;102,48224;152,307687;235,49878;38,75763;26,726624;107,447138;121,460371
66,285214;60,218545;76,086008;122,840356;149,578422;121,13595;39,399888;33,653908;121,570645;97,578645
62,24086;60,592342;114,214678;89,49172;98,598205;156,287401;39,556388;36,434038;109,389697;112,037656
60,655772;59,388963;137,803346;111,502926;110,965484;184,290885;36,806599;51,431999;107,176053;87,956083
65,211311;59,32302;108,422374;86,860144;149,923084;144,266845;37,855048;28,781929;107,843261;77,771132
61,828601;62,31191;87,296142;121,209423;124,167657;139,83166;33,462251;41,294217;118,568544;91,79369
67,106586;78,182124;138,534943;134,96546;156,912003;146,719843;33,725586;31,71904;102,357957;90,004007
64,776114;66,397354;77,741612;137,933068;120,420662;84,852016;36,35611;31,544547;98,461495;91,290119
66,398737;71,51065;101,913744;145,475719;158,675924;92,885409;36,23068;25,235576;81,230789;104,658965
60,503997;69,547106;124,463553;88,221403;182,976186;108,022442;27,357982;33,722939;110,80077;130,129762
57,510413;58,846787;144,912103;87,357869;117,395217;172,158622;37,397624;34,33347;92,520384;103,502744
71,117295;67,535846;85,92768;144,172389;112,897913;89,723301;34,786107;30,756304;107,342528;97,972222
69,713901;67,580308;112,211937;147,634574;177,835383;116,724681;33,494299;36,31037;86,460505;79,804971
64,24199;80,487833;122,316975;133,654175;153,537551;166,025198;37,442842;28,031501;103,322915;67,927897
69,020721;54,046647;113,688373;132,932635;140,014942;80,66236;25,571254;36,498547;92,647981;80,582289
74,403246;68,074355;99,757163;144,80548;178,95467;135,881222;34,866005;32,067888;103,535754;88,794852
71,6855;71,442082;120,952048;76,09154;161,624544;179,426866;33,688946;34,358043;101,194296;90,794035
67,702562;71,266924;118,075788;108,383384;126,721283;71,357218;32,996647;36,768491;86,739682;95,780946
62,005357;97,668172;121,820886;157,664159;147,530223;155,715146;33,918353;31,724471;91,38887;100,106189
60,794593;79,26295;131,971625;153,834084;132,536862;133,219938;29,110063;32,52602;101,299304;94,861015
66,24145;56,892595;101,057097;104,793976;117,302951;143,199543;27,807638;28,403609;91,566261;80,69781
59,406533;78,667842;85,293341;73,510064;158,783851;193,058143;25,619961;28,62028;89,287552;98,094015
71,897811;71,739327;109,357412;114,815091;113,426913;109,9467;35,574069;28,908693;90,296497;92,338106
72,959512;72,68619;95,063404;99,71138;128,207276;114,523924;33,083445;25,613727;92,550528;99,802642
74,292406;66,138516;94,711851;96,080594;108,556824;102,088419;30,510153;28,233762;98,73236;88,982916
67,069034;64,305614;107,961545;117,308563;108,821089;121,328023;28,169766;33,364341;83,930171;89,332849
72,05052;70,231679;134,291842;93,77215;135,79351;190,153903;31,470796;29,165978;95,71139;92,719758
85,408555;74,666012;103,734427;123,648348;154,397753;189,212817;28,883112;35,129538;84,219538;83,562131
66,769631;72,205048;131,646413;112,939015;107,365189;106,909839;30,716365;32,505057;84,862052;81,880094
78,732298;73,183444;135,770096;99,564448;140,392753;91,21821;32,109875;35,058611;115,190703;88,253395
