Training Set Error;Verifying Set Error;Training Set Error;Verifying Set Error;Training Set Error;Verifying Set Error;Training Set Error;Verifying Set Error;Training Set Error;Verifying Set Error
0,050956;0,052551;0,030245;0,032012;0,0309;0,031507;0,031662;0,033235;0,039082;0,039257
0,048675;0,048532;0,029673;0,028704;0,030334;0,031849;0,031688;0,030634;0,037325;0,039182
0,048411;0,048146;0,030267;0,032869;0,034304;0,03042;0,030767;0,036114;0,037461;0,038203
0,049913;0,049894;0,02933;0,029034;0,029665;0,034789;0,033089;0,032297;0,037174;0,035526
0,048293;0,045823;0,028845;0,029465;0,033532;0,033327;0,032129;0,034653;0,03763;0,034417
0,050411;0,050261;0,030999;0,030889;0,030876;0,03205;0,034141;0,036371;0,035453;0,037475
0,048397;0,048925;0,029274;0,029926;0,032201;0,036189;0,03434;0,029368;0,036379;0,035776
0,050946;0,048122;0,031007;0,031279;0,032017;0,032233;0,031296;0,034508;0,03736;0,035522
0,050622;0,047737;0,031571;0,027308;0,032512;0,031997;0,03172;0,035105;0,035908;0,03811
0,050435;0,0486;0,029354;0,034335;0,031984;0,032152;0,033841;0,030992;0,036002;0,035916
0,049302;0,049022;0,031343;0,030001;0,033313;0,032234;0,032769;0,029746;0,037588;0,038471
0,048344;0,048904;0,029789;0,028494;0,033201;0,031306;0,033071;0,032173;0,035803;0,035921
0,049795;0,051219;0,030559;0,031055;0,032061;0,031489;0,032361;0,030638;0,036489;0,03629
0,047458;0,047407;0,02943;0,029911;0,032783;0,032476;0,03149;0,032833;0,036948;0,035175
0,050365;0,050778;0,030977;0,031522;0,030385;0,03044;0,035745;0,032071;0,036505;0,037004
0,053186;0,052081;0,029599;0,027864;0,033225;0,030965;0,03065;0,032329;0,037694;0,037561
0,052246;0,046611;0,02986;0,028993;0,033313;0,029484;0,033254;0,031555;0,036422;0,036394
0,050862;0,050187;0,030782;0,028265;0,032092;0,031746;0,031758;0,032531;0,037518;0,033817
0,054286;0,050104;0,029355;0,030157;0,033638;0,028605;0,031172;0,030318;0,036051;0,034764
0,051035;0,049516;0,029942;0,033337;0,030413;0,031459;0,031922;0,031888;0,036263;0,035214
0,050423;0,056566;0,030478;0,028529;0,030489;0,027322;0,030543;0,033061;0,036608;0,035565
0,052089;0,051537;0,029527;0,029111;0,030116;0,033438;0,030292;0,030152;0,037145;0,034813
0,051251;0,055752;0,030557;0,029955;0,03146;0,031027;0,03254;0,034096;0,037374;0,03443
0,05024;0,052901;0,031502;0,029244;0,030276;0,032761;0,031137;0,03079;0,035689;0,036553
0,054791;0,054462;0,032171;0,031686;0,032121;0,03084;0,031055;0,032699;0,035841;0,035707
0,051523;0,051503;0,028117;0,030648;0,031348;0,028661;0,033144;0,033386;0,036168;0,03434
0,052946;0,053799;0,029264;0,030188;0,032564;0,030941;0,029851;0,031619;0,036026;0,035645
0,05542;0,055275;0,030098;0,028539;0,031028;0,029837;0,030609;0,030166;0,034281;0,037147
0,054427;0,053435;0,030165;0,030205;0,030877;0,031416;0,032311;0,024891;0,036532;0,037844
0,055755;0,052082;0,028906;0,028315;0,031133;0,031794;0,033013;0,030396;0,035473;0,031997
0,053062;0,055935;0,028122;0,030071;0,031618;0,03155;0,032881;0,029439;0,035524;0,035656
0,051731;0,058158;0,03045;0,027049;0,031027;0,028836;0,030855;0,036074;0,034318;0,035207
0,054886;0,05549;0,030138;0,029088;0,031704;0,034239;0,030717;0,031236;0,035541;0,032084
0,054515;0,054627;0,031482;0,029334;0,031069;0,03167;0,031838;0,031302;0,035867;0,032561
0,053372;0,05572;0,02985;0,027947;0,032484;0,026088;0,028407;0,030889;0,033732;0,037281
0,049952;0,051494;0,028519;0,031564;0,031262;0,028666;0,032239;0,030473;0,03533;0,034836
0,054231;0,056275;0,030682;0,029478;0,029942;0,033018;0,032759;0,0309;0,034434;0,03733
0,057156;0,055959;0,029952;0,028688;0,029928;0,02895;0,030607;0,034634;0,035373;0,033665
0,05813;0,054084;0,029091;0,030309;0,032166;0,032231;0,031736;0,031276;0,036527;0,033476
0,054136;0,058596;0,030687;0,029747;0,02946;0,029528;0,032291;0,033103;0,033757;0,034504
0,058578;0,055098;0,030008;0,02566;0,030349;0,026909;0,031297;0,033699;0,032607;0,034781
0,059893;0,059757;0,028405;0,031714;0,029355;0,030618;0,03174;0,031482;0,034915;0,033576
0,059297;0,057786;0,030669;0,029092;0,032326;0,030545;0,030976;0,029944;0,033435;0,031053
0,056333;0,05952;0,029207;0,028603;0,030633;0,030346;0,029476;0,030334;0,035107;0,036111
0,058209;0,056934;0,03003;0,032346;0,030764;0,025916;0,029462;0,029342;0,034786;0,035765
0,056918;0,057284;0,027836;0,030615;0,031522;0,029016;0,030128;0,031382;0,034795;0,035948
0,060232;0,057661;0,031329;0,028118;0,030593;0,027617;0,030665;0,029353;0,033453;0,034875
0,059296;0,061319;0,030222;0,030183;0,031263;0,028894;0,028196;0,034648;0,033757;0,033825
0,057881;0,057853;0,029798;0,028384;0,031804;0,030253;0,03185;0,030501;0,033487;0,035326
0,058012;0,058939;0,030014;0,027042;0,028689;0,03021;0,029999;0,032014;0,033442;0,034154
0,06161;0,067309;0,029046;0,03062;0,029353;0,031506;0,029443;0,02643;0,032681;0,034393
0,062072;0,066144;0,030138;0,030014;0,031282;0,031991;0,030216;0,028499;0,033446;0,031391
0,062382;0,065405;0,029215;0,028982;0,030287;0,029976;0,03035;0,027463;0,034017;0,031659
0,061414;0,060277;0,029587;0,028234;0,03225;0,032165;0,031092;0,029116;0,033974;0,036371
0,059443;0,061468;0,028737;0,031626;0,029998;0,030069;0,028599;0,033412;0,034;0,031529
0,063791;0,063744;0,027734;0,029545;0,030213;0,031215;0,028646;0,026346;0,032752;0,032431
0,062678;0,062289;0,029256;0,027072;0,028478;0,02696;0,03076;0,030004;0,032505;0,034036
